TIME,Temp(°C),Temp(°F),Water Range(cm),Water Level,Turbidity(Voltage),Water Purity,pH level,target column
45:17.3,47.19,116.94,28,Low,3.29,Muddy,8.32,Impure
45:22.0,47.13,116.82,27,Low,3.04,Muddy,8.38,Impure
45:26.6,47.06,116.71,27,Low,3.17,Muddy,8.27,Impure
45:31.2,47.06,116.71,85,Low,3.23,Muddy,8.33,Impure
45:35.9,47.06,116.71,28,Low,3.28,Muddy,8.12,Impure
45:40.6,47.06,116.71,28,Low,3.23,Muddy,8.32,Impure
45:45.2,47,116.6,28,Low,3.26,Muddy,8.35,Impure
45:49.9,47,116.6,28,Low,2.99,Muddy,8.32,Impure
45:54.5,46.94,116.49,28,Low,3.29,Muddy,8.27,Impure
45:59.2,46.88,116.37,28,Low,3.29,Muddy,8.33,Impure
46:03.8,46.88,116.37,28,Low,3,Muddy,8.41,Impure
46:08.5,46.88,116.37,28,Low,3.16,Muddy,8.35,Impure
46:13.1,46.88,116.37,28,Low,3.01,Muddy,8.4,Impure
46:17.8,46.81,116.26,28,Low,3.08,Muddy,8.25,Impure
46:22.4,46.75,116.15,28,Low,3.08,Muddy,8.31,Impure
46:27.0,46.75,116.15,28,Low,3.27,Muddy,8.28,Impure
46:31.7,46.69,116.04,28,Low,2.98,Muddy,8.34,Impure
46:36.3,46.63,115.92,28,Low,3.25,Muddy,7.94,Impure
46:41.0,46.63,115.92,28,Low,3.09,Muddy,8.38,Impure
46:45.7,46.56,115.81,28,Low,3.18,Muddy,8.4,Impure
46:50.3,46.63,115.92,28,Low,3.24,Muddy,8.32,Impure
46:55.0,46.63,115.92,28,Low,3.01,Muddy,8.2,Impure
46:59.6,46.56,115.81,28,Low,2.97,Muddy,7.98,Impure
47:04.3,46.5,115.7,28,Low,3.17,Muddy,8.18,Impure
47:08.9,46.44,115.59,28,Low,3.17,Muddy,8.21,Impure
47:13.6,46.44,115.59,28,Low,2.98,Muddy,8.23,Impure
47:18.2,46.44,115.59,28,Low,3.25,Muddy,8.07,Impure
47:22.9,46.38,115.47,28,Low,3.21,Muddy,8.32,Impure
47:27.5,46.38,115.47,28,Low,3.23,Muddy,8.26,Impure
47:32.2,46.38,115.47,28,Low,3.05,Muddy,8.33,Impure
47:36.8,46.31,115.36,28,Low,3.15,Muddy,8.36,Impure
47:41.4,46.31,115.36,28,Low,2.97,Muddy,8.38,Impure
47:46.1,46.31,115.36,28,Low,3.16,Muddy,8.42,Impure
47:50.8,46.25,115.25,28,Low,3.25,Muddy,7.89,Impure
47:55.4,46.25,115.25,28,Low,3.18,Muddy,8.1,Impure
48:00.1,46.19,115.14,28,Low,3.17,Muddy,8.36,Impure
48:04.7,46.19,115.14,28,Low,2.94,Muddy,8.26,Impure
48:09.4,46.13,115.03,28,Low,3.24,Muddy,8.28,Impure
48:14.0,46.13,115.03,28,Low,3.16,Muddy,8.3,Impure
48:18.7,46.06,114.91,28,Low,2.96,Muddy,8.35,Impure
48:23.3,46.06,114.91,28,Low,3.11,Muddy,8.03,Impure
48:28.0,46,114.8,28,Low,2.94,Muddy,8.32,Impure
48:32.6,46,114.8,28,Low,3.01,Muddy,8.35,Impure
48:37.3,45.94,114.69,28,Low,3.23,Muddy,8.36,Impure
48:41.9,45.94,114.69,28,Low,3.22,Muddy,8.27,Impure
48:46.5,45.88,114.57,28,Low,3.23,Muddy,8.18,Impure
48:51.2,45.88,114.57,28,Low,3.14,Muddy,8.22,Impure
48:55.8,45.81,114.46,28,Low,3.3,Muddy,8.34,Impure
49:00.5,45.75,114.35,28,Low,3.11,Muddy,8.34,Impure
49:05.1,45.75,114.35,28,Low,3.24,Muddy,8.39,Impure
49:09.8,45.75,114.35,28,Low,3,Muddy,8.26,Impure
49:14.4,45.75,114.35,28,Low,3.02,Muddy,8.23,Impure
49:19.1,45.69,114.24,28,Low,3.01,Muddy,8.24,Impure
49:23.7,45.69,114.24,28,Low,3.23,Muddy,8.36,Impure
49:28.4,45.63,114.12,28,Low,3.05,Muddy,8.49,Impure
49:33.0,45.56,114.01,28,Low,3.23,Muddy,8.46,Impure
49:37.7,45.56,114.01,28,Low,3.24,Muddy,8.27,Impure
49:42.3,45.56,114.01,28,Low,3.04,Muddy,8.38,Impure
49:47.0,45.56,114.01,28,Low,3.24,Muddy,8.36,Impure
49:51.6,45.5,113.9,28,Low,3.24,Muddy,8.3,Impure
49:56.3,45.44,113.79,28,Low,3.21,Muddy,8.26,Impure
50:00.9,45.44,113.79,28,Low,3.11,Muddy,8.37,Impure
50:05.6,45.44,113.79,28,Low,3.16,Muddy,8.41,Impure
50:10.2,45.38,113.67,28,Low,3.23,Muddy,8.19,Impure
50:14.9,45.38,113.67,28,Low,3.14,Muddy,8.11,Impure
50:19.5,45.38,113.67,28,Low,3.22,Muddy,8.34,Impure
50:24.2,45.31,113.56,28,Low,3.02,Muddy,8.36,Impure
50:28.8,45.25,113.45,28,Low,3.01,Muddy,8.31,Impure
50:33.5,45.25,113.45,28,Low,3.23,Muddy,8.37,Impure
50:38.1,45.25,113.45,28,Low,3.16,Muddy,8.34,Impure
50:42.8,45.19,113.34,28,Low,3.25,Muddy,7.94,Impure
50:47.4,45.19,113.34,28,Low,3.24,Muddy,8.39,Impure
50:52.1,45.13,113.22,28,Low,2.96,Muddy,8.16,Impure
50:56.7,45.13,113.22,28,Low,3.23,Muddy,8.04,Impure
51:01.4,45.13,113.22,28,Low,3.16,Muddy,8.28,Impure
51:06.0,45.06,113.11,28,Low,3.29,Muddy,8.36,Impure
51:10.7,45.06,113.11,28,Low,3.07,Muddy,8.23,Impure
51:15.3,45.06,113.11,28,Low,3.06,Muddy,8.36,Impure
51:20.0,45,113,28,Low,3.21,Muddy,8.28,Impure
51:24.6,45,113,28,Low,3.28,Muddy,8.35,Impure
51:29.3,44.94,112.89,28,Low,3.23,Muddy,8.32,Impure
51:33.9,45,113,28,Low,3.1,Muddy,8.28,Impure
51:38.6,44.88,112.78,28,Low,3.05,Muddy,8.03,Impure
51:43.2,44.88,112.78,28,Low,3.23,Muddy,8.14,Impure
51:47.9,44.81,112.66,28,Low,3.28,Muddy,8.16,Impure
51:52.5,44.81,112.66,28,Low,3.01,Muddy,8.09,Impure
51:57.2,44.81,112.66,28,Low,2.96,Muddy,8.38,Impure
52:01.8,44.81,112.66,28,Low,3.14,Muddy,8.33,Impure
52:06.4,44.81,112.66,28,Low,3.11,Muddy,8.41,Impure
52:11.1,44.75,112.55,28,Low,3.28,Muddy,8.27,Impure
52:15.8,44.69,112.44,28,Low,3,Muddy,8.28,Impure
52:20.4,44.69,112.44,28,Low,3.17,Muddy,8.18,Impure
52:25.1,44.63,112.32,28,Low,3.31,Muddy,8.34,Impure
52:29.7,44.63,112.32,28,Low,3.06,Muddy,8.39,Impure
52:34.4,44.63,112.32,28,Low,3.04,Muddy,8.26,Impure
52:39.0,44.63,112.32,28,Low,3.21,Muddy,8.13,Impure
52:43.6,44.56,112.21,28,Low,3.24,Muddy,8.28,Impure
52:48.3,44.56,112.21,28,Low,3.09,Muddy,8.34,Impure
52:52.9,44.5,112.1,28,Low,3.07,Muddy,8.31,Impure
52:57.6,44.5,112.1,28,Low,3.16,Muddy,8.25,Impure
53:02.2,44.5,112.1,28,Low,3.02,Muddy,8.39,Impure
53:06.9,44.44,111.99,28,Low,3.02,Muddy,8.25,Impure
53:11.5,44.44,111.99,28,Low,3.17,Muddy,8.28,Impure
53:16.2,44.38,111.87,28,Low,3.01,Muddy,8.32,Impure
53:20.8,44.38,111.87,28,Low,3.11,Muddy,8.38,Impure
53:25.5,44.31,111.76,28,Low,3.21,Muddy,8.25,Impure
53:30.1,44.31,111.76,28,Low,3.09,Muddy,8.2,Impure
53:34.8,44.31,111.76,28,Low,3.24,Muddy,8.37,Impure
53:39.4,44.31,111.76,28,Low,2.98,Muddy,8.45,Impure
53:44.1,44.25,111.65,28,Low,3.04,Muddy,8.22,Impure
53:48.7,44.25,111.65,28,Low,3.19,Muddy,8.31,Impure
53:53.4,44.19,111.54,28,Low,3.19,Muddy,8.27,Impure
53:58.0,44.13,111.42,28,Low,3.03,Muddy,8.36,Impure
54:02.7,44.13,111.42,28,Low,3.3,Muddy,8.44,Impure
54:07.3,44.06,111.31,28,Low,3.25,Muddy,8.09,Impure
54:12.0,44.06,111.31,28,Low,3.3,Muddy,8.33,Impure
54:16.6,44.06,111.31,28,Low,3,Muddy,8.28,Impure
54:21.3,44.06,111.31,28,Low,3.04,Muddy,8.21,Impure
54:25.9,44.06,111.31,28,Low,3.01,Muddy,8.16,Impure
54:30.6,44,111.2,28,Low,3.16,Muddy,8.29,Impure
54:35.2,44,111.2,28,Low,2.97,Muddy,8.08,Impure
54:39.9,43.94,111.09,28,Low,3.01,Muddy,8.34,Impure
54:44.5,43.94,111.09,28,Low,3.23,Muddy,8.05,Impure
54:49.2,43.88,110.97,28,Low,2.99,Muddy,8.3,Impure
54:53.8,43.88,110.97,28,Low,3.09,Muddy,8.25,Impure
54:58.5,43.88,110.97,28,Low,3.13,Muddy,8.29,Impure
55:03.1,43.81,110.86,28,Low,3,Muddy,8.37,Impure
55:07.8,43.81,110.86,28,Low,3.24,Muddy,8.33,Impure
55:12.4,43.81,110.86,28,Low,3.19,Muddy,8.37,Impure
55:17.1,43.75,110.75,28,Low,3.01,Muddy,8.41,Impure
55:21.7,43.75,110.75,28,Low,3.16,Muddy,8.26,Impure
55:26.3,43.75,110.75,28,Low,3.21,Muddy,8.22,Impure
55:31.0,43.69,110.64,28,Low,3.24,Muddy,8.3,Impure
55:35.7,43.69,110.64,28,Low,3.34,Muddy,8.36,Impure
55:40.3,43.69,110.64,28,Low,3.16,Muddy,8.16,Impure
55:45.0,43.63,110.53,28,Low,2.98,Muddy,8.15,Impure
55:49.6,43.63,110.53,28,Low,3,Muddy,8.32,Impure
55:54.3,43.56,110.41,28,Low,3.06,Muddy,8.29,Impure
55:58.9,43.56,110.41,28,Low,3.05,Muddy,8.31,Impure
56:03.6,43.56,110.41,28,Low,3.29,Muddy,8.19,Impure
56:08.2,43.5,110.3,28,Low,3.22,Muddy,8.35,Impure
56:12.8,43.5,110.3,28,Low,3.09,Muddy,8.17,Impure
56:17.5,43.5,110.3,28,Low,3,Muddy,8.29,Impure
56:22.1,43.44,110.19,28,Low,3.32,Muddy,8.21,Impure
56:26.8,43.44,110.19,28,Low,3.13,Muddy,7.97,Impure
56:31.4,43.44,110.19,28,Low,3.22,Muddy,8.14,Impure
56:36.1,43.38,110.07,28,Low,2.98,Muddy,8.13,Impure
56:40.7,43.38,110.07,28,Low,3.24,Muddy,8.24,Impure
56:45.4,43.31,109.96,28,Low,3.29,Muddy,8.25,Impure
56:50.0,43.31,109.96,28,Low,3.09,Muddy,8.37,Impure
56:54.7,43.31,109.96,28,Low,3.21,Muddy,8.37,Impure
56:59.3,43.25,109.85,28,Low,3.05,Muddy,8,Impure
57:04.0,43.25,109.85,28,Low,3.16,Muddy,8.31,Impure
57:08.6,43.25,109.85,28,Low,3.16,Muddy,8.4,Impure
57:13.3,43.19,109.74,28,Low,3.24,Muddy,8.02,Impure
57:17.9,43.19,109.74,28,Low,3.21,Muddy,8.36,Impure
57:22.6,43.13,109.62,28,Low,3.04,Muddy,8.4,Impure
57:27.2,43.13,109.62,28,Low,3.23,Muddy,8.25,Impure
57:31.9,43.06,109.51,28,Low,3.22,Muddy,8.24,Impure
57:36.5,43.06,109.51,28,Low,3.01,Muddy,8.34,Impure
57:41.2,43.06,109.51,28,Low,3.18,Muddy,8.33,Impure
57:45.8,43.06,109.51,28,Low,3.18,Muddy,7.86,Impure
57:50.5,42.94,109.29,28,Low,3.19,Muddy,8.3,Impure
57:55.1,42.94,109.29,28,Low,3.1,Muddy,8.23,Impure
57:59.8,42.94,109.29,28,Low,3.28,Muddy,8.28,Impure
58:04.4,42.94,109.29,28,Low,3.14,Muddy,8.22,Impure
58:09.1,42.88,109.17,28,Low,3.06,Muddy,8.17,Impure
58:13.7,42.88,109.17,28,Low,3.21,Muddy,8.4,Impure
58:18.4,42.88,109.17,28,Low,3.22,Muddy,7.99,Impure
58:23.0,42.88,109.17,28,Low,3.3,Muddy,8.19,Impure
58:27.7,42.81,109.06,28,Low,3.09,Muddy,8.17,Impure
58:32.3,42.81,109.06,28,Low,3.14,Muddy,8.29,Impure
58:37.0,42.75,108.95,28,Low,3.24,Muddy,8.25,Impure
58:41.6,42.75,108.95,28,Low,3.26,Muddy,8.24,Impure
58:46.3,42.75,108.95,28,Low,3.08,Muddy,8.28,Impure
58:50.9,42.75,108.95,28,Low,3.24,Muddy,8.21,Impure
58:55.6,42.69,108.84,28,Low,3.25,Muddy,8.25,Impure
59:00.2,42.69,108.84,28,Low,3.12,Muddy,8.35,Impure
59:04.9,42.63,108.72,28,Low,3.25,Muddy,8.28,Impure
59:09.5,42.63,108.72,28,Low,2.93,Muddy,8.19,Impure
59:14.2,42.63,108.72,28,Low,3.01,Muddy,8.2,Impure
59:18.8,42.56,108.61,28,Low,3.23,Muddy,8.24,Impure
59:23.4,42.5,108.5,28,Low,2.97,Muddy,8.25,Impure
59:28.1,42.5,108.5,28,Low,3.27,Muddy,8.2,Impure
59:32.8,42.5,108.5,28,Low,3.2,Muddy,8.31,Impure
59:37.4,42.5,108.5,28,Low,2.93,Muddy,8.16,Impure
59:42.1,42.5,108.5,28,Low,2.99,Muddy,8.27,Impure
59:46.7,42.44,108.39,28,Low,2.94,Muddy,8.24,Impure
59:51.3,42.44,108.39,28,Low,3.28,Muddy,8.42,Impure
59:56.0,42.38,108.28,28,Low,3.13,Muddy,8.29,Impure
00:00.6,42.38,108.28,28,Low,3.19,Muddy,8.38,Impure
00:05.3,42.38,108.28,28,Low,2.98,Muddy,8.23,Impure
00:09.9,42.31,108.16,28,Low,2.99,Muddy,8.24,Impure
00:14.6,42.31,108.16,28,Low,2.93,Muddy,8.29,Impure
00:19.2,42.31,108.16,28,Low,3.16,Muddy,8.15,Impure
00:23.9,42.25,108.05,28,Low,3.14,Muddy,7.97,Impure
00:28.5,42.19,107.94,28,Low,3.03,Muddy,8.16,Impure
00:33.2,42.19,107.94,28,Low,3.08,Muddy,8.3,Impure
00:37.8,42.25,108.05,28,Low,3.15,Muddy,8.14,Impure
00:42.5,42.19,107.94,28,Low,3.2,Muddy,8.26,Impure
00:47.1,42.19,107.94,28,Low,3.18,Muddy,8.12,Impure
00:51.8,42.13,107.82,28,Low,3.12,Muddy,8.14,Impure
00:56.4,42.13,107.82,28,Low,3.01,Muddy,8.17,Impure
01:01.1,42.13,107.82,28,Low,3.24,Muddy,8.28,Impure
01:05.7,42.06,107.71,28,Low,3.28,Muddy,8.25,Impure
01:10.4,42.06,107.71,28,Low,2.94,Muddy,8.26,Impure
01:15.0,42,107.6,28,Low,3.23,Muddy,8.36,Impure
01:19.7,42,107.6,28,Low,3.04,Muddy,8.32,Impure
01:24.3,42.06,107.71,28,Low,3.18,Muddy,8.33,Impure
01:29.0,42.06,107.71,28,Low,3.09,Muddy,8.32,Impure
01:33.6,42,107.6,28,Low,3.24,Muddy,8.28,Impure
01:38.3,41.94,107.49,28,Low,2.94,Muddy,8.32,Impure
01:42.9,41.88,107.37,28,Low,3.18,Muddy,8.34,Impure
01:47.6,41.88,107.37,28,Low,3.24,Muddy,8.31,Impure
01:52.2,41.88,107.37,28,Low,3.16,Muddy,8.11,Impure
01:56.9,41.88,107.37,28,Low,3.16,Muddy,8.2,Impure
02:01.5,41.81,107.26,28,Low,2.99,Muddy,8.36,Impure
02:06.2,41.81,107.26,28,Low,3.11,Muddy,8.28,Impure
02:10.8,41.75,107.15,28,Low,3.22,Muddy,8.27,Impure
02:15.5,41.75,107.15,28,Low,3.12,Muddy,8.21,Impure
02:20.1,41.75,107.15,28,Low,3.1,Muddy,8.22,Impure
02:24.8,41.69,107.04,28,Low,2.99,Muddy,8.36,Impure
02:29.4,41.69,107.04,28,Low,3.16,Muddy,8.2,Impure
02:34.1,41.69,107.04,28,Low,2.96,Muddy,8.28,Impure
02:38.7,41.69,107.04,28,Low,2.99,Muddy,8.17,Impure
02:43.4,41.63,106.92,28,Low,3.07,Muddy,8.23,Impure
02:48.0,41.63,106.92,28,Low,3.11,Muddy,8.36,Impure
02:52.7,41.63,106.92,28,Low,3.14,Muddy,8.28,Impure
02:57.3,41.56,106.81,28,Low,3.02,Muddy,8.36,Impure
03:01.9,41.56,106.81,28,Low,3.24,Muddy,8.35,Impure
03:06.6,41.56,106.81,28,Low,3.11,Muddy,8.26,Impure
03:11.2,41.56,106.81,28,Low,3.23,Muddy,8.34,Impure
03:15.9,41.5,106.7,28,Low,3.19,Muddy,8.32,Impure
03:20.6,41.5,106.7,28,Low,2.99,Muddy,8.27,Impure
03:25.2,41.5,106.7,28,Low,3.01,Muddy,8.19,Impure
03:29.8,41.5,106.7,28,Low,3,Muddy,7.91,Impure
03:34.5,41.44,106.59,28,Low,3.2,Muddy,8.3,Impure
03:39.1,41.38,106.47,28,Low,3.2,Muddy,8.3,Impure
03:43.8,41.44,106.59,28,Low,3.28,Muddy,8.03,Impure
03:48.4,41.38,106.47,28,Low,3.02,Muddy,8.39,Impure
03:53.1,41.38,106.47,28,Low,3.19,Muddy,8.3,Impure
03:57.7,41.38,106.47,28,Low,3.03,Muddy,8.23,Impure
04:02.4,41.31,106.36,28,Low,3.06,Muddy,8.21,Impure
04:07.0,41.31,106.36,28,Low,3.22,Muddy,8.27,Impure
04:11.7,41.25,106.25,28,Low,3.12,Muddy,8.21,Impure
04:16.3,41.25,106.25,28,Low,3.02,Muddy,8.25,Impure
04:21.0,41.25,106.25,28,Low,3.02,Muddy,8.36,Impure
04:25.6,41.25,106.25,28,Low,3.28,Muddy,8.2,Impure
04:30.3,41.25,106.25,28,Low,3.23,Muddy,8.21,Impure
04:34.9,41.19,106.14,28,Low,3.2,Muddy,8.35,Impure
04:39.6,41.19,106.14,28,Low,2.99,Muddy,8.36,Impure
04:44.2,41.19,106.14,28,Low,3.22,Muddy,8.35,Impure
04:48.9,41.13,106.03,28,Low,3.17,Muddy,8.29,Impure
04:53.5,41.13,106.03,28,Low,3.19,Muddy,8.19,Impure
04:58.2,41.13,106.03,28,Low,3.07,Muddy,8.27,Impure
05:02.8,41.06,105.91,28,Low,3.02,Muddy,8.34,Impure
05:07.5,41.06,105.91,28,Low,3.15,Muddy,8.23,Impure
05:12.1,41.06,105.91,28,Low,3.23,Muddy,7.89,Impure
05:16.8,41.06,105.91,28,Low,3.07,Muddy,8.22,Impure
05:21.4,41,105.8,28,Low,3.17,Muddy,8.3,Impure
05:26.1,41.06,105.91,28,Low,3.26,Muddy,8.25,Impure
05:30.7,41,105.8,28,Low,3.24,Muddy,8.2,Impure
05:35.4,41,105.8,28,Low,3.09,Muddy,8.21,Impure
05:40.0,40.94,105.69,28,Low,3.01,Muddy,8.05,Impure
05:44.7,40.94,105.69,28,Low,3.17,Muddy,8.32,Impure
05:49.3,40.88,105.57,28,Low,3.01,Muddy,8.25,Impure
05:54.0,40.81,105.46,28,Low,3.14,Muddy,8.41,Impure
05:58.6,40.81,105.46,28,Low,3.03,Muddy,8.26,Impure
06:03.3,40.81,105.46,28,Low,3.28,Muddy,8.43,Impure
06:07.9,40.81,105.46,28,Low,2.98,Muddy,8.06,Impure
06:12.6,40.75,105.35,28,Low,3.12,Muddy,8.1,Impure
06:17.2,40.81,105.46,28,Low,2.99,Muddy,8.25,Impure
06:21.9,40.81,105.46,28,Low,3.11,Muddy,8.26,Impure
06:26.5,40.75,105.35,28,Low,3.24,Muddy,8.34,Impure
06:31.1,40.75,105.35,28,Low,2.95,Muddy,8.17,Impure
06:35.8,40.75,105.35,28,Low,3.04,Muddy,8.3,Impure
06:40.5,40.69,105.24,28,Low,3.14,Muddy,8.3,Impure
06:45.1,40.69,105.24,28,Low,3.23,Muddy,8.35,Impure
06:49.7,40.69,105.24,28,Low,3.16,Muddy,8.38,Impure
06:54.4,40.69,105.24,28,Low,3.05,Muddy,8.21,Impure
06:59.0,40.63,105.12,28,Low,2.96,Muddy,8.32,Impure
07:03.7,40.56,105.01,28,Low,3.12,Muddy,8.15,Impure
07:08.3,40.56,105.01,28,Low,3.01,Muddy,8.28,Impure
07:13.0,40.56,105.01,28,Low,3.06,Muddy,8.12,Impure
07:17.6,40.56,105.01,28,Low,3,Muddy,8.28,Impure
07:22.3,40.5,104.9,28,Low,2.97,Muddy,8.39,Impure
07:26.9,40.5,104.9,28,Low,3.2,Muddy,8.34,Impure
07:31.6,40.5,104.9,28,Low,2.96,Muddy,8.29,Impure
07:36.2,40.5,104.9,28,Low,3.27,Muddy,8.29,Impure
07:40.9,40.44,104.79,28,Low,3.12,Muddy,8.25,Impure
07:45.5,40.44,104.79,28,Low,2.97,Muddy,8.12,Impure
07:50.2,40.44,104.79,28,Low,2.98,Muddy,8.14,Impure
07:54.8,40.44,104.79,28,Low,3.12,Muddy,8.26,Impure
07:59.5,40.38,104.67,28,Low,2.98,Muddy,8.26,Impure
08:04.1,40.38,104.67,28,Low,3.16,Muddy,8.18,Impure
08:08.8,40.38,104.67,28,Low,3,Muddy,8.08,Impure
08:13.4,40.38,104.67,28,Low,3.05,Muddy,8,Impure
08:18.1,40.31,104.56,28,Low,2.98,Muddy,8.21,Impure
08:22.7,40.31,104.56,28,Low,3.1,Muddy,8.22,Impure
08:27.4,40.31,104.56,28,Low,3.02,Muddy,8.3,Impure
08:32.0,40.31,104.56,28,Low,2.9,Muddy,8.24,Impure
08:36.6,40.25,104.45,28,Low,3.19,Muddy,8.27,Impure
08:41.3,40.19,104.34,28,Low,3.17,Muddy,8.05,Impure
08:45.9,40.19,104.34,28,Low,2.96,Muddy,8.4,Impure
08:50.6,40.19,104.34,28,Low,3.01,Muddy,8.25,Impure
08:55.3,40.13,104.22,28,Low,2.98,Muddy,8.31,Impure
08:59.9,40.13,104.22,28,Low,3.07,Muddy,8.21,Impure
09:04.5,40.13,104.22,28,Low,3.2,Muddy,8.03,Impure
09:09.2,40.06,104.11,28,Low,2.96,Muddy,8.24,Impure
09:13.8,40.13,104.22,28,Low,3.12,Muddy,8.23,Impure
09:18.5,40.13,104.22,28,Low,3.17,Muddy,8.27,Impure
09:23.1,40.06,104.11,28,Low,3.18,Muddy,8.28,Impure
09:27.8,40.06,104.11,28,Low,3.2,Muddy,8.25,Impure
09:32.4,40.06,104.11,28,Low,2.95,Muddy,8.23,Impure
09:37.1,40,104,28,Low,3.24,Muddy,8.15,Impure
09:41.7,40,104,28,Low,3.01,Muddy,8.42,Impure
09:46.4,40,104,28,Low,3.28,Muddy,8.37,Impure
09:51.0,39.94,103.89,28,Low,2.97,Muddy,8.43,Impure
09:55.7,39.94,103.89,28,Low,3.02,Muddy,8.23,Impure
10:00.3,39.94,103.89,28,Low,3.21,Muddy,8.37,Impure
10:05.0,39.94,103.89,28,Low,2.95,Muddy,8.37,Impure
10:09.6,39.88,103.78,28,Low,3.16,Muddy,8.36,Impure
10:14.3,39.94,103.89,28,Low,3.04,Muddy,8.27,Impure
10:18.9,39.88,103.78,28,Low,3.12,Muddy,8.29,Impure
10:23.6,39.88,103.78,28,Low,3.24,Muddy,8.28,Impure
10:28.2,39.88,103.78,28,Low,3.07,Muddy,8.26,Impure
10:32.9,39.81,103.66,28,Low,3.26,Muddy,8.27,Impure
10:37.5,39.81,103.66,28,Low,2.98,Muddy,8.22,Impure
10:42.2,39.81,103.66,28,Low,3.24,Muddy,8.25,Impure
10:46.8,39.81,103.66,28,Low,3.2,Muddy,8.19,Impure
10:51.4,39.75,103.55,28,Low,2.97,Muddy,8.31,Impure
10:56.1,39.75,103.55,28,Low,2.95,Muddy,8.25,Impure
11:00.7,39.75,103.55,28,Low,3.15,Muddy,8.25,Impure
11:05.4,39.75,103.55,28,Low,3.13,Muddy,8.32,Impure
11:10.0,39.69,103.44,28,Low,3.1,Muddy,8.35,Impure
11:14.7,39.75,103.55,28,Low,3.08,Muddy,8.21,Impure
11:19.3,39.75,103.55,28,Low,2.97,Muddy,8.26,Impure
11:24.0,39.69,103.44,28,Low,2.98,Muddy,8.3,Impure
11:28.6,39.63,103.32,28,Low,2.96,Muddy,8.28,Impure
11:33.3,39.63,103.32,28,Low,3.13,Muddy,8.3,Impure
11:37.9,39.63,103.32,28,Low,3.12,Muddy,8.41,Impure
11:42.6,39.56,103.21,28,Low,3.09,Muddy,8.37,Impure
11:47.2,39.63,103.32,28,Low,2.94,Muddy,8.38,Impure
11:51.9,39.56,103.21,28,Low,3.02,Muddy,8.33,Impure
11:56.5,39.56,103.21,28,Low,3.06,Muddy,8.33,Impure
12:01.2,39.56,103.21,28,Low,3.03,Muddy,8.27,Impure
12:05.8,39.5,103.1,28,Low,3.23,Muddy,8.2,Impure
12:10.5,39.5,103.1,28,Low,3.07,Muddy,8.03,Impure
12:15.1,39.44,102.99,28,Low,2.93,Muddy,8.29,Impure
12:19.8,39.5,103.1,28,Low,2.96,Muddy,8.17,Impure
12:24.4,39.44,102.99,28,Low,3.19,Muddy,8.19,Impure
12:29.0,39.44,102.99,28,Low,3.22,Muddy,8.15,Impure
12:33.7,39.44,102.99,28,Low,3,Muddy,8.27,Impure
12:38.4,39.38,102.87,28,Low,3.17,Muddy,8.31,Impure
12:43.0,39.44,102.99,28,Low,2.96,Muddy,8.18,Impure
12:47.6,39.38,102.87,28,Low,3.17,Muddy,8.34,Impure
12:52.3,39.38,102.87,28,Low,3.18,Muddy,8.31,Impure
12:56.9,39.38,102.87,28,Low,2.98,Muddy,8.35,Impure
13:01.6,39.31,102.76,28,Low,3.16,Muddy,8.37,Impure
13:06.2,39.31,102.76,28,Low,2.93,Muddy,8.34,Impure
13:10.9,39.25,102.65,28,Low,3.21,Muddy,8.26,Impure
13:15.5,39.31,102.76,28,Low,3.2,Muddy,8.24,Impure
13:20.2,39.25,102.65,28,Low,2.93,Muddy,8.3,Impure
13:24.8,39.25,102.65,28,Low,3.12,Muddy,8.31,Impure
13:29.5,39.19,102.54,28,Low,3.22,Muddy,8.09,Impure
13:34.1,39.25,102.65,28,Low,3.14,Muddy,8.33,Impure
13:38.8,39.25,102.65,28,Low,3.27,Muddy,8.25,Impure
13:43.4,39.19,102.54,28,Low,3.14,Muddy,8.33,Impure
13:48.1,39.19,102.54,28,Low,3.26,Muddy,8.35,Impure
13:52.7,39.19,102.54,28,Low,3.06,Muddy,8.25,Impure
13:57.4,39.13,102.42,28,Low,3.1,Muddy,8.2,Impure
14:02.0,39.13,102.42,28,Low,3.17,Muddy,8.36,Impure
14:06.7,39.13,102.42,28,Low,3.16,Muddy,8.32,Impure
14:11.3,39.06,102.31,27,Low,3.16,Muddy,8.07,Impure
14:16.0,39.06,102.31,28,Low,2.98,Muddy,8.36,Impure
14:20.6,39.06,102.31,28,Low,3.27,Muddy,8.18,Impure
14:25.3,39.06,102.31,28,Low,3.17,Muddy,8.28,Impure
14:29.9,39,102.2,28,Low,3.16,Muddy,8.25,Impure
14:34.5,39.06,102.31,28,Low,3.1,Muddy,8.23,Impure
14:39.2,39,102.2,28,Low,3.25,Muddy,8.09,Impure
14:43.8,39,102.2,28,Low,3.03,Muddy,8.26,Impure
14:48.5,39,102.2,28,Low,3.12,Muddy,8.25,Impure
14:53.1,39,102.2,28,Low,3.11,Muddy,7.95,Impure
14:57.8,38.94,102.09,28,Low,3.24,Muddy,8.21,Impure
15:02.4,38.88,101.97,28,Low,3.14,Muddy,8.23,Impure
15:07.1,38.94,102.09,28,Low,3.12,Muddy,8.13,Impure
15:11.7,38.88,101.97,28,Low,3.01,Muddy,8.1,Impure
15:16.4,38.88,101.97,28,Low,3.24,Muddy,8.3,Impure
15:21.0,38.88,101.97,28,Low,3.27,Muddy,8.29,Impure
